STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,total injuries,DEATHS_DIRECT,DEATHS_INDIRECT,total deaths,DAMAGE_PROPERTY,DAMAGE_CROPS,DAMAGE_PROPERTY_FIXED,DAMAGE_CROPS_FIXED,DAMAGE_SUM,OUR_METRIC
WEST VIRGINIA,February,Flood,WOOD,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,February,Flood,TRANSYLVANIA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
MASSACHUSETTS,November,Flood,NORFOLK,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,November,Flood,WASHINGTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,September,Flood,ROWAN,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,September,Flood,BOYD,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,September,Flood,GREENUP,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,September,Flood,CARTER,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,September,Flood,WASHINGTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,September,Flood,POWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,May,Flood,TRANSYLVANIA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,May,Flood,TRANSYLVANIA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,May,Flood,OWEN,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,May,Flood,PICKENS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,May,Flood,CALDWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,May,Flood,SPARTANBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
VIRGINIA,September,Flood,BATH,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,September,Flood,WASHINGTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,September,Flood,WASHINGTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
INDIANA,September,Flood,MARION,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
MARYLAND,September,Flood,GARRETT,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,PRESTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,September,Flood,JACKSON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,September,Flood,MEIGS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,WAYNE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,KANAWHA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,ROANE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,POCAHONTAS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flood,RANDOLPH,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,June,Flood,RITCHIE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,June,Flood,VINTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
FLORIDA,June,Flood,FLAGLER,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,December,Flood,SPARTANBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,December,Flood,ATHENS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
GEORGIA,December,Flood,HABERSHAM,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,December,Flood,MACON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flood,MCDOWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flood,CALDWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,October,Flood,SPARTANBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,November,Flood,SPARTANBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,November,Flood,SPARTANBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,November,Flood,MECKLENBURG,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
